City_ID,City,Country,Max Temp,Weather description,Lat,Lon,Hotel Name
413,Bacolod,PH,87.15,overcast clouds,10.6667,122.95,Planta Hotel & Residences
415,San Policarpo,PH,84.6,overcast clouds,12.1791,125.5072,JM Lodge
422,Orodara,BF,78.91,broken clouds,10.9492,-4.9342,Bkf Orodara
428,Dingle,PH,88.56,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
431,Japura,ID,81.75,broken clouds,-0.3167,102.35,Rumah mbah Jamah
433,Kampong Chhnang,KH,82.49,overcast clouds,12.1667,104.55,រមណីយដ្ឋាន ទឹកធ្លាក់ស្រែអំពិល
443,Clovis,US,88.16,scattered clouds,36.8252,-119.7029,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
444,Mont-Dore,NC,75.18,clear sky,-22.2833,166.5833,GIte
445,Loa Janan,ID,89.02,clear sky,-0.583,117.095,Pondok hijau 2A
447,Sulangan,PH,83.39,broken clouds,11.1373,123.7228,Maia's Beach Resort
451,Puerto Carreno,CO,77.95,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
456,Nabire,ID,85.82,scattered clouds,-3.3667,135.4833,Hotel Nusantara Nabire
457,Phangnga,TH,84.9,moderate rain,8.4509,98.5298,Sunimit Mansion
458,Roebourne,AU,77.47,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
460,Awjilah,LY,75.81,clear sky,29.1081,21.2869,
461,Faanui,PF,81.64,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
463,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
465,Harper,LR,79.03,overcast clouds,4.375,-7.7169,Screensaver
466,Kutum,SD,75.92,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
467,Kudahuvadhoo,MV,84.18,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
470,Savannah Bight,HN,82.0,broken clouds,16.45,-85.85,Villa on Dunbar Rock
473,Jiwani,PK,87.17,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
474,Bontang,ID,84.74,scattered clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
476,Kirakira,SB,82.36,overcast clouds,-10.4544,161.9205,SanBiz Lodge
479,Chandbali,IN,82.96,overcast clouds,20.7833,86.7667,KABITA HOMES
481,Avera,US,81.72,overcast clouds,33.194,-82.5271,
482,Saint-Georges,GD,79.61,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
485,Nepa Nagar,IN,85.42,overcast clouds,21.4667,76.4,Rest House Hilltop
487,Tessalit,ML,89.58,broken clouds,20.1986,1.0114,
496,Ukiah,US,82.13,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
498,Kununurra,AU,85.01,broken clouds,-15.7667,128.7333,Hotel Kununurra
502,Barentu,ER,82.92,clear sky,15.1139,37.5928,
506,Acarau,BR,78.91,broken clouds,-2.8856,-40.12,castelo pizzaria
508,Mangrol,IN,83.12,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
515,Barreirinha,BR,78.82,broken clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
519,Tomatlan,MX,77.4,clear sky,19.9333,-105.25,Norma franco
522,Kroya,ID,83.77,broken clouds,-7.6331,109.2461,RUSTANTO Fam
524,Cape Canaveral,US,77.99,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
529,Hilton Head Island,US,78.91,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
532,Liuzhou,CN,80.98,broken clouds,24.3126,109.3892,Linjiang Inn
539,Vega De Alatorre,MX,80.1,broken clouds,20.0333,-96.6333,El Polo Norte
540,Petatlan,MX,79.81,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
543,Amahai,ID,82.51,light rain,-3.3333,128.9167,HOTEL ISABELA
549,Itapirapua,BR,75.31,clear sky,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
552,Sibu,MY,88.11,few clouds,2.3,111.8167,RH HOTEL (4 Star)
555,Marawi,PH,80.65,overcast clouds,7.9986,124.2928,Derogongan Residence
557,Pangkalanbuun,ID,87.39,light rain,-2.6833,111.6167,Grand Kecubung Hotel
558,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
563,Feijo,BR,76.53,scattered clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
570,Bandarbeyla,SO,79.11,broken clouds,9.4942,50.8122,JABIR HOTEL
572,Zaria,NG,79.11,scattered clouds,11.1113,7.7227,A.B.U Hotels
578,Boffa,GN,78.58,broken clouds,10.1667,-14.0333,Hôtel Niara Belly
586,Yucaipa,US,80.94,clear sky,34.0336,-117.0431,Yucaipa Regional Park
587,Pingliang,CN,76.75,scattered clouds,35.5392,106.6861,North Gate Hostel
588,Tiarei,PF,82.42,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
591,Namatanai,PG,76.98,overcast clouds,-3.6667,152.4333,Namatanai Hotel
602,Dwarka,IN,84.54,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
605,Luoyang,CN,86.11,light rain,34.6836,112.4536,易家国际青年旅舍
607,Tura,IN,75.09,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
608,Mogadishu,SO,78.4,broken clouds,2.0371,45.3438,Hotel Juba
609,Karratha,AU,77.49,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
611,Minas De Barroteran,MX,89.74,overcast clouds,27.6333,-101.2833,Motel Venecia
614,Ugoofaaru,MV,83.82,overcast clouds,5.6667,73.0,Ungoofaaru Inn
615,Charyshskoye,RU,77.27,broken clouds,51.3978,83.5598,Gostinitsa Charysh
621,Mayumba,GA,77.54,overcast clouds,-3.432,10.6554,LIKWALE LODGE
622,Carutapera,BR,76.24,overcast clouds,-1.195,-46.02,Lidera
628,Kassala,SD,89.11,scattered clouds,15.450999999999999,36.4,Amassi Hotel Gash
633,Korla,CN,80.96,overcast clouds,41.7597,86.1469,Gulisitan Hotel
634,Marsh Harbour,BS,76.42,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
636,Bantou,CN,80.8,overcast clouds,26.2151,117.4893,
