City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Havre-Saint-Pierre,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
113,Toktogul,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
114,Olafsvik,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
115,Madinat Sittah Uktubar,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
116,Kropotkin,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
117,Sabang,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
118,Cherskiy,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
119,Tabiauea,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
120,Puerto Ayora,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
121,Puerto Padre,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
122,Mafra,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
123,Xining,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
124,Ormara,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
125,Milyutinskaya,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
126,Castro,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
127,Jinchang,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
128,Kamra,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
129,Beni,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
130,Alim,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
131,Vetluga,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
132,Pedregulho,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
133,Dikson,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
134,Makat,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
135,Traralgon,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
136,Maimon,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
137,Mar Del Plata,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
138,Nisia Floresta,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
139,Okhotsk,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
140,Aquiraz,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
141,Qaanaaq,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
142,Matara,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
143,Athabasca,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
144,Hvide Sande,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
145,Vallenar,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
146,Bathsheba,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
147,Zolotinka,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
148,Kaitangata,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
149,Lagoa,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
150,Saint-Philippe,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
